,0
335,-3.3436794999452957e-16
336,-2.525757381022231e-15
337,4.0202216555762504e-16
338,-2.4858587410747646e-15
339,-1.3140530330524314e-15
340,-7.624109676918067e-16
341,-1.3357370765021415e-15
342,1.7650811368064012e-15
343,-1.19522447494802e-15
344,6.366435156834882e-16
345,-1.087671619437458e-15
346,-6.062858548538941e-16
347,1.192622389734055e-16
348,-1.2247147740396258e-15
349,-2.5777990853015353e-15
350,1.0000000000000078
351,-1.0232998259515624e-14
352,1.7937040741600185e-15
353,2.2794266474335245e-15
354,-1.0651202142497596e-15
355,-1.4988010832439613e-15
356,-3.890334235312487e-15
357,-3.777794049808492e-15
358,-1.4007892068512717e-15
359,-2.3002433291452462e-15
360,2.9325500361387924e-15
361,-6.3803129446426965e-15
362,2.8657631823136853e-15
363,2.3373230434442505e-15
364,2.9178048865929895e-15
365,-1.4732139119733034e-15
366,-5.5593550596366725e-15
367,3.0639553394440355e-15
368,-1.6784533832248094e-15
369,3.156979885843292e-15
370,3.7966591676097394e-15
371,-1.97758476261356e-16
372,3.1951438023147816e-16
373,1.4307131868118717e-15
374,-2.8165404036828434e-15
375,-4.425930108520326e-15
376,3.77345724111855e-15
377,2.0046898169256977e-15
378,3.82127055692516e-15
379,-4.487729632352e-15
380,-5.099653338502819e-15
381,-7.012619651636243e-15
382,-2.7564756033271465e-15
383,-2.2833297752544723e-15
384,3.4575207280562736e-16
385,6.086710996333622e-16
386,-1.9975340825872934e-15
387,-1.2713354674565025e-15
388,-3.197962727963244e-15
389,2.983507538245611e-15
390,-5.39499001028787e-16
391,6.260183343931303e-16
392,2.697495005143935e-16
393,-4.863297264900979e-15
394,1.450662506785605e-16
395,3.844580903633599e-15
396,7.39983940822083e-13
397,-1.115427195053087e-15
398,-3.445594504158933e-15
399,2.1866189414687653e-15
400,7.45410677627234e-15
401,-4.869043536415152e-14
402,2.7558450042385746e-13
403,-6.431279933518524e-14
404,1.712379559979868e-13
405,3.0111546936439915e-14
406,1.908958017701745e-13
407,-1.830152579506729e-13
408,9.528131322128486e-15
409,-4.562350931075487e-13
410,-1.0008815065805365e-13
411,3.138911995452e-13
412,-1.0372713972472969e-13
413,1.4036290033915544e-13
414,3.312181800531333e-13
415,-1.387281674085361e-13
416,7.71838783207926e-14
417,-4.195603283199678e-13
418,4.44335947159466e-13
419,-1.4988051490021082e-13
420,-9.429618002231022e-15
421,-2.1259293696111736e-13
422,1.098406305147237e-13
423,-1.8963595884574636e-13
424,-9.276513747696197e-14
425,-1.3199161951133256e-13
426,-3.8258270520803023e-13
427,3.085883870483641e-13
428,2.1351613511098877e-14
429,3.100683230138068e-13
430,-5.358393037006165e-13
431,1.2320771844171602e-13
432,3.0769635971095166e-13
433,-3.369291811153828e-13
434,-2.2243261377750956e-13
435,7.01531999267209e-14
436,3.774514338236723e-16
437,1.4596456638857336e-13
438,1.1655278301601337e-13
439,1.5600239470451444e-13
440,3.861765508067494e-15
441,-4.996003610813204e-16
442,1.5265566588595902e-16
443,-3.608224830031759e-16
444,-2.3592239273284576e-16
445,1.0894063429134349e-15
446,-6.47051856539349e-16
447,8.933825901280557e-16
448,2.0036056147532122e-16
449,-3.7903707950093235e-16
450,6.418476861114186e-17
451,7.806255641895632e-18
452,-2.3635607360183997e-16
453,-5.879628381388891e-16
454,-5.93275428784068e-16
455,1.9255430583342559e-16
456,-1.9585028043778152e-15
457,-4.961309141293668e-16
458,1.1535911115245767e-16
459,-1.3574211199518516e-15
460,6.288372600415926e-16
461,-1.3895135042574225e-15
462,4.701100619897147e-16
463,-5.087076593301987e-16
464,1.7312540290248535e-15
465,1.687018580387445e-16
466,-1.1258355359089478e-15
467,-2.22066288968481e-15
468,1.870031907102998e-15
469,1.1986939218999737e-15
470,4.2500725161431774e-16
471,-2.643718577388654e-15
472,1.1830814106161824e-15
473,-2.2898349882893854e-15
474,-6.767589960654519e-16
475,-3.469446951953614e-17
476,-1.556263798385693e-15
477,1.700029006457271e-15
478,-1.8023776915399026e-15
479,4.458239333260394e-16
480,-1.2030307305899157e-15
481,1.0321604682062002e-16
482,9.71445146547012e-17
483,-6.617970060851519e-16
484,-2.0660556598883772e-15
485,-2.220446049250313e-16
486,3.7470027081099033e-16
487,1.5265566588595902e-16
488,-1.5785983631388945e-16
489,1.5785983631388945e-16
490,8.257283745649602e-16
491,3.4867941867133823e-16
492,-9.749145934989656e-16
493,3.712308238590367e-16
494,-5.837344496661956e-16
495,-6.231994087446679e-16
496,-1.1893697832165984e-15
497,-2.5847379792054426e-16
498,9.783840404509192e-16
499,-2.4667767828390197e-15
500,-1.3266297782532632e-15
501,-2.888314587501384e-16
502,-2.850150671029894e-15
503,-3.86843335142828e-16
504,-2.903927098785175e-15
505,6.626643678231403e-16
506,-1.6406147274050653e-15
507,1.3652273755937472e-15
508,-1.3040783730655647e-15
509,-2.9559688030644793e-15
510,-1.844011054963346e-15
511,2.1163626406917047e-15
512,6.83481049534862e-16
513,6.938893903907228e-18
514,-3.0982161280945775e-15
515,9.072603779358701e-16
516,-3.0236230186275748e-15
517,-2.323228415201939e-15
518,5.724587470723463e-16
519,-1.4254005961666927e-15
520,2.3800406090401793e-15
521,-1.8769708010069053e-15
522,1.3114509478384662e-15
523,-1.6861512186494565e-15
524,-1.205632815803881e-16
525,2.7929047963226594e-16
526,-1.5681900222830336e-15
527,-3.1138286393783687e-15
528,-4.163336342344337e-16
529,-3.3306690738754696e-16
530,-1.0430024899310553e-16
531,3.608224830031759e-16
532,-1.0538445116559103e-15
533,4.189357194483989e-16
534,2.166235940626038e-15
535,-7.628446485608009e-16
536,1.6479873021779667e-16
537,-2.627021863932377e-16
538,8.743006318923108e-16
539,2.389581588158052e-16
540,-1.6150275561344074e-15
541,1.6445178552260131e-15
542,-2.654126918244515e-16
543,2.7885679876327174e-16
544,1.115427195053087e-15
545,-1.986258379993444e-16
546,1.5384828827569308e-15
547,3.677613769070831e-16
548,3.9714325578144027e-16
549,-3.3480163086352377e-16
550,3.421742056364252e-16
551,7.060324547225605e-16
552,1.2581082009521793e-15
553,-5.854691731421724e-16
554,-1.0174153186603974e-15
555,-9.367506770274758e-16
556,9.063930161978817e-16
557,-1.2195106036116954e-15
558,1.5269903397285844e-15
559,-4.0462425077159025e-16
560,-1.6761765586625899e-15
561,6.828305282313707e-16
562,-2.8796409701215e-16
563,1.4346163146328195e-15
564,-1.4883927423881005e-15
565,-3.469446951953614e-17
566,-1.5937771935536915e-16
567,-1.0224026486538307e-15
568,2.1553939189011828e-16
569,1.2442304131443649e-15
570,-6.938893903907228e-17
571,3.3393426912553537e-16
572,-1.4886095828225976e-16
573,-2.1632001745430784e-15
574,1.6393136847980827e-16
575,2.5799674896465064e-15
576,-9.168013570537425e-16
577,1.9125326322644298e-16
578,3.6656875451734905e-16
579,1.1925139695168063e-15
580,1.5677563414140394e-16
581,-1.5664552988070568e-15
582,1.910797908788453e-15
583,1.0156805951844206e-15
584,5.082739784612045e-16
585,3.204467940998157e-15
586,2.636779683484747e-16
587,2.027024381678899e-15
588,6.509549843602969e-16
589,6.755663736757178e-16
590,7.246807320893112e-16
591,4.833373284940379e-16
592,1.6380126421911001e-15
593,2.194858877979655e-15
594,-1.1136924715771102e-15
595,-9.506284648352903e-16
596,-1.7694179454963432e-15
597,1.8518173106052416e-15
598,-2.957703526540456e-16
599,1.5291587440735555e-15
600,-1.251169307048272e-16
601,-1.0603497246908233e-15
602,2.3097843082631186e-15
603,-7.962380754733545e-16
604,2.6914234729780162e-15
605,-6.323067069935462e-16
606,-4.117799851099946e-16
607,1.734723475976807e-17
608,-5.143455106271233e-16
609,9.003214840319629e-16
610,3.0401028916493544e-15
611,-9.566999970012091e-16
612,-1.914375775957655e-15
613,-3.861928138393367e-15
614,-2.953583558285011e-15
615,1.3079815008865125e-15
616,-2.3238789365054302e-15
617,-2.0602009681569555e-15
618,-3.0040599456777894e-15
619,-3.08455518072126e-16
620,-6.284577892812226e-16
621,-6.708609362471307e-15
622,3.430415673744136e-16
623,2.5055370105053765e-15
624,4.837710093630321e-16
625,2.5439719775199876e-15
626,1.9329156331071573e-15
627,2.979387569990166e-16
628,1.2392430831509316e-15
629,4.166751579187666e-15
630,-1.43982048506075e-16
631,-7.20913129539924e-16
632,-7.175249977509068e-16
633,1.79435459546351e-15
634,-4.2544093248331194e-15
635,-1.1017662476797696e-15
636,1.4782012419667367e-15
637,3.5371011675167097e-15
638,-1.0421351281930669e-15
639,-1.5890067039947553e-15
640,3.837533589512443e-15
641,1.0031038499835887e-15
642,-1.0837684916165102e-15
643,-5.41667405373758e-16
644,4.937673533933484e-15
645,-1.2533377113932431e-15
646,1.8291845902546067e-15
647,-1.858593574183276e-15
648,1.8596235662471372e-15
649,-7.04948252550075e-16
650,-4.51461784622964e-16
651,-1.8878128227317603e-15
652,-1.0885389811754465e-16
653,-8.346459374336535e-16
654,2.4726314745704414e-15
655,-2.6667036634453467e-15
656,-8.653153063878372e-16
657,1.5739989742353036e-15
658,1.6981858627640456e-15
659,-3.051199023258386e-16
660,2.188353664944742e-15
661,3.443209259379465e-15
662,-1.1108193358200236e-15
663,-2.27227091309512e-15
664,3.254124400497993e-15
665,-5.377480145202229e-15
666,4.627374872168133e-15
667,-2.0604178085914526e-15
668,-1.2339304925057526e-15
669,-1.2470493387928272e-15
670,-1.372484753885822e-15
671,1.0048385734595655e-15
672,3.4985035701762257e-15
673,-3.931100236997942e-15
674,-2.3690901670980757e-15
675,-1.850949948867253e-15
676,1.6354105569771349e-15
677,8.808058449272238e-16
678,-1.100465205072787e-15
679,2.6684519394484796e-15
680,-1.574369974666201e-15
681,-2.2475511035624507e-16
682,-1.1466522176206695e-15
683,2.526299482108474e-15
684,-2.9407899726496822e-15
685,2.0828065834532783e-15
